MWE,Regex,Quantity
Dar uma canja,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) uma canja,6
Dar uma cartada,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) uma cartada,2
Dar uma colher de chá,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) uma colh[^ ]+ de chá,2
Dar uma geral,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) uma geral,49
Dar uma dura,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) uma dura,20
Dar vazão,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) vazão,73
Dar uma rasteira,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) uma rasteira,32
Dar uma respirada,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) uma respirada,9
Dar voltas,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) voltas,194
Dar-se as mãos,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai)-se as mãos,8
Dar xeque-mate,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai) xeque-mate,13
Dar-se bem,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai)-se bem,58
Dar-se mal,(dou|dás|dá|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|deram|dera|deras|dera|déramos|déreis|darei|darás|dará|daremos|dareis|dareis|daria|darias|daríeis|daríamos|dariam|dê|dês|deem|desses|déssemos|désseis|dessem|der|deres|der|dermos|derdes|derem|dai)-se mal,10
De parar o trânsito,de (paro|paras|para|paramos|param|pararei|pararás|parará|pararemos|pararão|pararia|pararias|pararia|pararíamos|parariam|parava|paravas|parava|parávamos|paravam|parei|paraste|parou|paramos|pararam|pare|pares|pare|paremos|pareis|parem|parando|parado|parada|parados|paradas|parada|paradas|parador|paradores|paradora|paradoras|parado|parada|parados|paradas) o trânsito,2
Deixar a porta aberta,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) a porta aberta,213
Deixar a poeira baixar,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) a poeira baixar,15
Deixar barato,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) barato,78
Deixar de fora,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) de fora,887
Deixar de cabelo em pé,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) de cabelo em pé,20
Deixar de lado,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) de lado,2763
Deixar na mão,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) na mão,384
Deixar na gaveta,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) na gaveta,2
Deixar nas mãos de ___,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) nas mãos de,59
Deixar o barco correr,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) o barco correr,2
Deixar por menos,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) por menos,50
Deixar o campo livre,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) o campo livre,4
Deixar por conta da sorte,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) por conta da sorte,0
Deixar-se levar,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem)-se levar,121
Deixar uma pilha de nervos,(deixar|deixo|deixas|deixa|deixamos|deixais|deixam|deixava|deixavas|deixava|deixávamos|deixáveis|deixavam|deixei|deixaste|deixou|deixamos|deixastes|deixaram|deixaria|deixarias|deixaria|deixaríamos|deixaríeis|deixariam|deixe|deixes|deixe|deixemos|deixeis|deixem|deixando|deixado|deixa|deixai|deixem) uma pilha de nervos,0
Desatar o nó,(desato|desata|desatamos|desatam|desatas|desatava|desatavam|desatavas|desatávamos|desatará|desatarão|desatarás|desataremos|desataríamos|desatariam|desatarias|desatasse|desatassem|desatasses|desatássemos|desatar|desatando|desatado|desatados|desatada|desatadas) o nó,25
Desaparecer como fumaça,(desaparecer|desapareces|desaparece|desaparecemos|desaparecem|desaparecerei|desaparecerás|desaparecerá|desapareceremos|desaparecerão|desapareceria|desaparecerias|desapareceria|desapareceríamos|desapareceriam|desaparecia|desaparecias|desaparecia|desaparecíamos|desapareciam|desapareci|desapareceste|desapareceu|desaparecemos|desapareceram|desapareça|desapareças|desapareça|desapareçamos|desapareçais|desapareçam|desaparecendo|desaparecido|desaparecida|desaparecidos|desaparecidas|desaparecedor|desaparecedores|desaparecedora|desaparecedoras|desaparecido|desaparecida|desaparecidos|desaparecidas) como fumaça,3
Desaparecer no ar,(desaparecer|desapareces|desaparece|desaparecemos|desaparecem|desaparecerei|desaparecerás|desaparecerá|desapareceremos|desaparecerão|desapareceria|desaparecerias|desapareceria|desapareceríamos|desapareceriam|desaparecia|desaparecias|desaparecia|desaparecíamos|desapareciam|desapareci|desapareceste|desapareceu|desaparecemos|desapareceram|desapareça|desapareças|desapareça|desapareçamos|desapareçais|desapareçam|desaparecendo|desaparecido|desaparecida|desaparecidos|desaparecidas|desaparecedor|desaparecedores|desaparecedora|desaparecedoras|desaparecido|desaparecida|desaparecidos|desaparecidas) no ar,78
Descer a lenha,(desço|desce|descemos|descem|descês|descia|desciam|descias|descíamos|descerá|descerão|descerás|desceremos|desceríamos|desceriam|descerias|descêsse|descêssem|descêsses|descêssemos|descer|descendo|descido|descidos|descida|descidas) a lenha,14
Descer o pau,(desço|desce|descemos|descem|descês|descia|desciam|descias|descíamos|descerá|descerão|descerás|desceremos|desceríamos|desceriam|descerias|descêsse|descêssem|descêsses|descêssemos|descer|descendo|descido|descidos|descida|descidas) o pau,15
Descer ao fundo do poço,(desço|desce|descemos|descem|descês|descia|desciam|descias|descíamos|descerá|descerão|descerás|desceremos|desceríamos|desceriam|descerias|descêsse|descêssem|descêsses|descêssemos|descer|descendo|descido|descidos|descida|descidas) ao fundo do poço,1
Descer ao túmulo,(desço|desce|descemos|descem|descês|descia|desciam|descias|descíamos|descerá|descerão|descerás|desceremos|desceríamos|desceriam|descerias|descêsse|descêssem|descêsses|descêssemos|descer|descendo|descido|descidos|descida|descidas) ao túmulo,2
Descobrir a América,(descubro|descobres|descobre|descobrimos|descobrem|descobrirei|descobrirás|descobrirá|descobriremos|descobrirão|descobriria|descobririas|descobriria|descobriríamos|descobririam|descobria|descobrias|descobria|descobríamos|descobriam|descobri|descobriste|descobriu|descobrimos|descobriram|descubra|descubras|descubra|descubramos|descubrais|descubram|descobrindo|descoberto|descoberta|descobertos|descobertas|descobridor|descobridores|descobridora|descobridoras|descoberto|descoberta|descobertos|descobertas) a [Aa]mérica,86
Descobrir a pólvora,(descubro|descobres|descobre|descobrimos|descobrem|descobrirei|descobrirás|descobrirá|descobriremos|descobrirão|descobriria|descobririas|descobriria|descobriríamos|descobririam|descobria|descobrias|descobria|descobríamos|descobriam|descobri|descobriste|descobriu|descobrimos|descobriram|descubra|descubras|descubra|descubramos|descubrais|descubram|descobrindo|descoberto|descoberta|descobertos|descobertas|descobridor|descobridores|descobridora|descobridoras|descoberto|descoberta|descobertos|descobertas) a pólvora,15
Dizer amém,(digo|dizes|diz|dizemos|dizem|direi|dirás|dirá|diremos|dirão|diria|dirias|diria|diríamos|diriam|dizia|dizias|dizia|dizíamos|diziam|disse|disseste|disse|dissemos|disseram|diga|digas|diga|digamos|digais|digam|dizendo|dito|dita|ditos|ditas|dizente|dizentes) amém,24
Desenferrujar as pernas,(desenferrujar|desenferrujo|desenferrujas|desenferruja|desenferrujamos|desenferrujam|desenferrujarei|desenferrujarás|desenferrujará|desenferrujaremos|desenferrujarão|desenferrujaria|desenferrujarias|desenferrujaria|desenferrujaríamos|desenferrujariam|desenferrujava|desenferrujavas|desenferrujava|desenferrujávamos|desenferrujavam|desenferrujei|desenferrujaste|desenferrujou|desenferrujamos|desenferrujaram|desenferruje|desenferrujes|desenferruje|desenferrujemos|desenferrujeis|desenferrujem|desenferrujando|desenferrujado|desenferrujada|desenferrujados|desenferrujadas|desenferrujador|desenferrujadores|desenferrujadora|desenferrujadoras|desenferrujado|desenferrujada|desenferrujados|desenferrujadas) as pernas,1
Desfiar o rosário,(desfio|desfias|desfia|desfiamos|desfiam|desfiarei|desfiarás|desfiará|desfiaremos|desfiarão|desfiaria|desfiarias|desfiaria|desfiaríamos|desfiariam|desfiava|desfiavas|desfiava|desfiávamos|desfiavam|desfiei|desfiaste|desfiou|desfiamos|desfiaram|desfie|desfies|desfie|desfiemos|desfieis|desfiem|desfiando|desfiado|desfiada|desfiados|desfiadas|desfiador|desfiadores|desfiadora|desfiadoras|desfiado|desfiada|desfiados|desfiadas) o rosário,0
Destilar veneno,(destilo|destilas|destila|destilamos|destilam|destilarei|destilarás|destilará|destilaremos|destilarão|destilaria|destilarias|destilaria|destilaríamos|destilariam|destilava|destilavas|destilava|destilávamos|destilavam|destilei|destilaste|destilou|destilamos|destilaram|destile|destiles|destile|destilemos|destileis|destilem|destilando|destilado|destilada|destilados|destiladas|destilador|destiladores|destiladora|destiladoras|destilado|destilada|destilados|destiladas) veneno,5
Devorar com os olhos,(devorar|devoro|devoras|devora|devoramos|devorais|devoram|devorava|devoravas|devorava|devorávamos|devoráveis|devoravam|devorei|devoraste|devorou|devoramos|devorastes|devoraram|devorarei|devorarás|devorará|devoraremos|devorareis|devorarão|devoraria|devorarias|devoraria|devoraríamos|devoraríeis|devorariam) com os olhos,0
Dizer cobras e lagartos,(digo|dizes|diz|dizemos|dizem|direi|dirás|dirá|diremos|dirão|diria|dirias|diria|diríamos|diriam|dizia|dizias|dizia|dizíamos|diziam|disse|disseste|disse|dissemos|disseram|diga|digas|diga|digamos|digais|digam|dizendo|dito|dita|ditos|ditas|dizente|dizentes) cobras e lagartos,4
Dormir no ponto,(digo|diz|dizemos|dizeis|dizem|disse|disseste|disse|dissemos|dissestes|disseram|direi|dirás|dirá|diremos|direis|dirão|dissera|disseras|dissera|disséramos|disserais|disseram|direi|dirás|dirá|diremos|direis|dirão|diga|digas|diga|digamos|digais|digam|disse|disses|disse|disséssemos|dissésseis|disserem|dizer|dizendo|dito) no ponto,7
Dizer umas verdades,(digo|dizes|diz|dizemos|dizem|direi|dirás|dirá|diremos|dirão|diria|dirias|diria|diríamos|diriam|dizia|dizias|dizia|dizíamos|diziam|disse|disseste|disse|dissemos|disseram|diga|digas|diga|digamos|digais|digam|dizendo|dito|dita|ditos|ditas|dizente|dizentes) umas verdades,5
Dormir com um olho aberto e outro fechado,(digo|diz|dizemos|dizeis|dizem|disse|disseste|disse|dissemos|dissestes|disseram|direi|dirás|dirá|diremos|direis|dirão|dissera|disseras|dissera|disséramos|disserais|disseram|direi|dirás|dirá|diremos|direis|dirão|diga|digas|diga|digamos|digais|digam|disse|disses|disse|disséssemos|dissésseis|disserem|dizer|dizendo|dito) com um olho aberto e outro fechado,0
Dourar a pílula,(douro|doura|douramos|dourais|douram|dourava|douravas|dourávamos|douráveis|douravam|dourara|douraras|dourara|douráramos|douráreis|douraram|dourarei|dourarás|dourará|douraremos|dourareis|dourarão|douraria|dourarias|douraria|douraríamos|douraríeis|dourariam|dourasse|dourasses|dourássemos|dourásseis|dourassem|dourar|dourares|dourar|dourarmos|dourardes|dourarem) a pílula,58
Dormir sobre os louros,(digo|diz|dizemos|dizeis|dizem|disse|disseste|disse|dissemos|dissestes|disseram|direi|dirás|dirá|diremos|direis|dirão|dissera|disseras|dissera|disséramos|disserais|disseram|direi|dirás|dirá|diremos|direis|dirão|diga|digas|diga|digamos|digais|digam|disse|disses|disse|disséssemos|dissésseis|disserem|dizer|dizendo|dito) sobre os lour,0
Encher a cara,(encho|enchendo|encheu|enche|enchia|encheria|enchêsseis|encham|enchemos|enchei|encham|encheriam|enchera|encheras|encherá|encherão|encheríeis|encheríamos|encheríamos|enchêramos|encherei|encheremos|encheremos|encheríamos|encherias|enchêssemos|enchêsseis|encheste|enchêsse|enches|enchiam|encheu|encheamos|enchi|encheste|enchais) a cara,70
Empinar o nariz,(empinar|empina|empinas|empinamos|empinais|empinam|empinando|empinado|empinada|empinados|empinadas|empine|empines|empinemos|empineis|empinem|empinaria|empinarias|empinariamos|empinariam|empinasse|empinasses|empinássemos|empinásseis|empinassem) o nariz,1
Encher a cabeça,(encho|enchendo|encheu|enche|enchia|encheria|enchêsseis|encham|enchemos|enchei|encham|encheriam|enchera|encheras|encherá|encherão|encheríeis|encheríamos|encheríamos|enchêramos|encherei|encheremos|encheremos|encheríamos|encherias|enchêssemos|enchêsseis|encheste|enchêsse|enches|enchiam|encheu|encheamos|enchi|encheste|enchais) a cabeça,48
Encher a paciência,(encho|enchendo|encheu|enche|enchia|encheria|enchêsseis|encham|enchemos|enchei|encham|encheriam|enchera|encheras|encherá|encherão|encheríeis|encheríamos|encheríamos|enchêramos|encherei|encheremos|encheremos|encheríamos|encherias|enchêssemos|enchêsseis|encheste|enchêsse|enches|enchiam|encheu|encheamos|enchi|encheste|enchais) a paciência,30
Encher a lata,(encho|enchendo|encheu|enche|enchia|encheria|enchêsseis|encham|enchemos|enchei|encham|encheriam|enchera|encheras|encherá|encherão|encheríeis|encheríamos|encheríamos|enchêramos|encherei|encheremos|encheremos|encheríamos|encherias|enchêssemos|enchêsseis|encheste|enchêsse|enches|enchiam|encheu|encheamos|enchi|encheste|enchais) a lata,3
Encher linguiça,(encho|enchendo|encheu|enche|enchia|encheria|enchêsseis|encham|enchemos|enchei|encham|encheriam|enchera|encheras|encherá|encherão|encheríeis|encheríamos|encheríamos|enchêramos|encherei|encheremos|encheremos|encheríamos|encherias|enchêssemos|enchêsseis|encheste|enchêsse|enches|enchiam|encheu|encheamos|enchi|encheste|enchais) linguiça,18
Encher o saco,(encho|enchendo|encheu|enche|enchia|encheria|enchêsseis|encham|enchemos|enchei|encham|encheriam|enchera|encheras|encherá|encherão|encheríeis|encheríamos|encheríamos|enchêramos|encherei|encheremos|encheremos|encheríamos|encherias|enchêssemos|enchêsseis|encheste|enchêsse|enches|enchiam|encheu|encheamos|enchi|encheste|enchais) o saco,457
Encher os olhos,(encho|enchendo|encheu|enche|enchia|encheria|enchêsseis|encham|enchemos|enchei|encham|encheriam|enchera|encheras|encherá|encherão|encheríeis|encheríamos|encheríamos|enchêramos|encherei|encheremos|encheremos|encheríamos|encherias|enchêssemos|enchêsseis|encheste|enchêsse|enches|enchiam|encheu|encheamos|enchi|encheste|enchais) os olhos,36
Encostar na parede,(encostar|encosto|encosta|encostando|encostado|encostava|encostarei|encoste|encostei|encostem|encostaremos|encostemos|encostarás|encostaremos|encostaríamos|encostaria|encostarão|encostavam|encostaste|encostaríeis|encostastes|encostavas|encostáveis|encostávamos|encostarás|encostáveis|encostais|encostaria|encostas|encostaste|encosteis|encostaram|encostado|encostada|encostados|encostadas.) na parede,99
Enfiar a mão no bolso,(enfiar|enfio|enfia|enfiando|enfiado|enfiava|enfiarei|enfie|enfiei|enfiam|enfiaremos|enfiemos|enfiarás|enfiaremos|enfiaríamos|enfiaria|enfiarão|enfiavam|enfiaste|enfiaríeis|enfiastes|enfiavas|enfiáveis|enfiávamos|enfiarás|enfiáveis|enfiais|enfiaria|enfias|enfiaste|enfieis|enfiaram|enfiada|enfiados|enfiadas) a mão no bolso,7
Endireitar a vida,(endireitar|endireito|endireita|endireitando|endireitado|endireitava|endireitarei|endireite|endireitei|endireitem|endireitaremos|endireitemos|endireitarás|endireitaremos|endireitaríamos|endireitaria|endireitarão|endireitavam|endireitaste|endireitaríeis|endireitastes|endireitavas|endireitáveis|endireitávamos|endireitarás|endireitáveis|endireitais|endireitaria|endireitas|endireitaste|endireiteis|endireitaram|endireitado|endireitada|endireitados|endireitadas.) a vida,3
Enfiar o pé,(enfiar|enfio|enfia|enfiando|enfiado|enfiava|enfiarei|enfie|enfiei|enfiam|enfiaremos|enfiemos|enfiarás|enfiaremos|enfiaríamos|enfiaria|enfiarão|enfiavam|enfiaste|enfiaríeis|enfiastes|enfiavas|enfiáveis|enfiávamos|enfiarás|enfiáveis|enfiais|enfiaria|enfias|enfiaste|enfieis|enfiaram|enfiada|enfiados|enfiadas) o pé,18
Enfiar o rabo entre as pernas,(enfiar|enfio|enfia|enfiando|enfiado|enfiava|enfiarei|enfie|enfiei|enfiam|enfiaremos|enfiemos|enfiarás|enfiaremos|enfiaríamos|enfiaria|enfiarão|enfiavam|enfiaste|enfiaríeis|enfiastes|enfiavas|enfiáveis|enfiávamos|enfiarás|enfiáveis|enfiais|enfiaria|enfias|enfiaste|enfieis|enfiaram|enfiada|enfiados|enfiadas) o rabo entre as pernas,4
Enfrentar a parada,(enfrentar|enfrento|enfrenta|enfrentando|enfrentado|enfrentava|enfrentarei|enfrente|enfrentei|enfrentem|enfrentaremos|enfrentemos|enfrentarás|enfrentaremos|enfrentaríamos|enfrentaria|enfrentarão|enfrentavam|enfrentaste|enfrentaríeis|enfrentastes|enfrentavas|enfrentáveis|enfrentávamos|enfrentarás|enfrentáveis|enfrentais|enfrentaria|enfrentas|enfrentaste|enfrenteis|enfrentaram|enfrentada|enfrentados|enfrentadas) a parada,0
Engolir sapo,(engolir|engulo|engole|engolindo|engolido|engolia|engolirei|engula|engoli|engulam|engoliremos|engolimos|engolirás|engoliremos|engoliríamos|engoliria|engolirão|engoliam|engoliste|engoliríeis|engolistes|engolias|engolíamos|engolirás|engolíeis|engolis|engoliria|engoles|engoliste|engulam|engolida|engolidos|engolidas) sapo,49
Engolir ___ goela abaixo,(engolir|engulo|engole|engolindo|engolido|engolia|engolirei|engula|engoli|engulam|engoliremos|engolimos|engolirás|engoliremos|engoliríamos|engoliria|engolirão|engoliam|engoliste|engoliríeis|engolistes|engolias|engolíamos|engolirás|engolíeis|engolis|engoliria|engoles|engoliste|engulam|engolida|engolidos|engolidas) ([^ ]+)? goela abaixo,0
Engolir a língua,(engolir|engulo|engole|engolindo|engolido|engolia|engolirei|engula|engoli|engulam|engoliremos|engolimos|engolirás|engoliremos|engoliríamos|engoliria|engolirão|engoliam|engoliste|engoliríeis|engolistes|engolias|engolíamos|engolirás|engolíeis|engolis|engoliria|engoles|engoliste|engulam|engolida|engolidos|engolidas) a língua,17
Engrossar as fileiras,(engrossar|engrosso|engrossa|engrossando|engrossado|engrossava|engrossarei|engrosse|engrossei|engrossem|engrossaremos|engrossemos|engrossarás|engrossaremos|engrossaríamos|engrossaria|engrossarão|engrossavam|engrossaríeis|engrossastes|engrossavas|engrossáveis|engrossávamos|engrossarás|engrossáveis|engrossais|engrossaria|engrossas|engrossaste|engrosseei|engrossaram|engrossada|engrossados|engrossadas) as fileiras,47
Entrar areia,(entrar|entro|entras|entra|entramos|entrais|entram|entrava|entravas|entrava|entrávamos|entráveis|entravam|entrei|entrou|entrou|entramos|entrastes|entraram|entraria|entrarias|entraria|entraríamos|entraríeis|entrariam|entre|entres|entre|entremos|entreis|entrem|entrando|entrado|entra|entrai|entrem) areia,21
Entender o riscado,(entender|entendo|entende|entendendo|entendido|entendia|entenderei|entenda|entendi|entendam|entenderemos|entendemos|entenderás|entenderemos|entenderíamos|entenderão|entendiam|entenderíeis|entendestes|entendias|entendíamos|entenderás|entendíeis|entendeis|entenderia|entendas|entendeste|entendeu|entenderam|entendida|entendidos|entendidas) o riscado,0
Entortar o caneco,(entortar|entorto|entorta|entortando|entortado|entortava|entortarei|entorte|entortei|entortem|entortaremos|entortemos|entortarás|entortaríamos|entortaria|entortarão|entortavam|entortaríeis|entortastes|entortavas|entortáveis|entortávamos|entortarás|entortais|entortaria|entortas|entortaste|entorteis|entortaram|entortada|entortados|entortadas) o caneco,0
Entrar de cabeça,(entrar|entro|entras|entra|entramos|entrais|entram|entrava|entravas|entrava|entrávamos|entráveis|entravam|entrei|entrou|entrou|entramos|entrastes|entraram|entraria|entrarias|entraria|entraríamos|entraríeis|entrariam|entre|entres|entre|entremos|entreis|entrem|entrando|entrado|entra|entrai|entrem) de cabeça,76
Entrar em cena,(entrar|entro|entras|entra|entramos|entrais|entram|entrava|entravas|entrava|entrávamos|entráveis|entravam|entrei|entrou|entrou|entramos|entrastes|entraram|entraria|entrarias|entraria|entraríamos|entraríeis|entrariam|entre|entres|entre|entremos|entreis|entrem|entrando|entrado|entra|entrai|entrem) em cena,913
Entrar na dança,(entrar|entro|entras|entra|entramos|entrais|entram|entrava|entravas|entrava|entrávamos|entráveis|entravam|entrei|entrou|entrou|entramos|entrastes|entraram|entraria|entrarias|entraria|entraríamos|entraríeis|entrariam|entre|entres|entre|entremos|entreis|entrem|entrando|entrado|entra|entrai|entrem) na dança,92
Entrar na faca,(entrar|entro|entras|entra|entramos|entrais|entram|entrava|entravas|entrava|entrávamos|entráveis|entravam|entrei|entrou|entrou|entramos|entrastes|entraram|entraria|entrarias|entraria|entraríamos|entraríeis|entrariam|entre|entres|entre|entremos|entreis|entrem|entrando|entrado|entra|entrai|entrem) na faca,14
